card,
Card Name,ID
Bounty: Bunnizard,blizard
Bounty: Emerangler,emerangler
Bounty: Globbu,globbu
Bounty: Gost,gost
Bounty: Haunted Doll,doll
Bounty: Heliseed,hellseed
Bounty: Moss Golem [Unused],golem
Bounty: Mousse,mpoppo
Bounty: Ruffshroom,ruffshroom
Bounty: Terrawyrmer,snek
Bounty: Trollite,troll
Bounty: Turnislime,blob
Bounty: Wolly,wolly
Quest: Castle,qst_castle
Quest: Cave,qst_cave
Quest: Crimson Forests,qst_redforest
Quest: Desert,qst_desert
Quest: Field,qst_grass
Quest: Misty Forests,qst_mistywoods
Quest: Mountain,qst_mountain
Quest: Ruins,qst_ruin
Quest: Swamp,qst_swamp
Quest: Volcano,qst_volcano
